Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,1,Total Imports,Bananas,36086.815,73816.241
2009,1,Total Imports,"Barley, unmilled",2938.744,15471.917
2009,1,Total Imports,Beef and veal,55046.263,17332.307
2009,1,Total Imports,Beef products (inc. corned beef),16944.02,6164.921
2009,1,Total Imports,Beer,23967.693,46472.126
2009,1,Total Imports,"Bread, crispbreads, savoury biscuits",63606.987,34356.226
2009,1,Total Imports,Butter,15451.663,5523.292
2009,1,Total Imports,"Cereal, milled",4544.122,13266.049
2009,1,Total Imports,"Cereal, rolled or flaked",13963.548,12168.264
2009,1,Total Imports,Cheese,87148.374,28417.452
2009,1,Total Imports,Chocolate,72609.303,21961.021
2009,1,Total Imports,Cider & other fermented beverages,5109.171,3043.57
2009,1,Total Imports,Cocoa,39630.599,20734.117
2009,1,Total Imports,Coffee,47583.162,16802.447
2009,1,Total Imports,Condensed milk,3439.699,2554.482
2009,1,Total Imports,Dog or cat food for retail,36045.113,33965.836
2009,1,Total Imports,Edible offal and other meat,4831.31,5099.645
2009,1,Total Imports,Eggs & egg products,11596.898,6555.843
2009,1,Total Imports,Fish excl. Salmon & Shellfish,118132.768,40163.791
2009,1,Total Imports,"Flours, meals and pellets of meat, offal or fish",2865.506,4871.593
2009,1,Total Imports,Gin and Geneva,107.754,39.952
2009,1,Total Imports,"Grapes, fresh or dried",34293.193,26302.047
2009,1,Total Imports,Honey,4412.898,1992.487
2009,1,Total Imports,Ice cream,9478.258,4720.989
2009,1,Total Imports,Infant food for retail,15855.517,3568.063
2009,1,Total Imports,Jams,28834.728,22449.8
2009,1,Total Imports,Juice,49359.069,79773.04
2009,1,Total Imports,Lamb and mutton,36615.454,11456.442
2009,1,Total Imports,Lemons and Limes,4670.487,7781.704
2009,1,Total Imports,"Lettuce and chicory, fresh or chilled",25092.825,25235.51
2009,1,Total Imports,Margarine,7958.172,10713.593
2009,1,Total Imports,Milk and cream,4876.154,9841.896
2009,1,Total Imports,Milk powder,9201.108,5838.933
2009,1,Total Imports,Mineral water,50650.726,84275.433
2009,1,Total Imports,Miscellaneous food ingredients,103638.786,38293.557
2009,1,Total Imports,Mixes and doughs for baking,5889.745,3629.711
2009,1,Total Imports,Molasses,5993.732,55635.767
2009,1,Total Imports,"Mushrooms and truffles, fresh or chilled",13008.226,7645.808
2009,1,Total Imports,Nuts,14422.767,4864.085
2009,1,Total Imports,Oil cake,60303.721,322361.475
2009,1,Total Imports,Oil seeds and oleaginous fruits,35121.546,111077.84
2009,1,Total Imports,Oranges and Mandarins etc,37625.2,58808.719
2009,1,Total Imports,Other animal feedingstuffs,21105.548,89243.726
2009,1,Total Imports,Other beet or cane sugar,4575.746,6534.699
2009,1,Total Imports,"Other cereal (including maize), unmilled",10055.919,56532.561
2009,1,Total Imports,Other Citrus fruit,1501.975,2619.87
2009,1,Total Imports,Other fruit,51926.58,38312.445
2009,1,Total Imports,Other meat products,28929.003,9292.884
2009,1,Total Imports,Other milk products,18372.935,17025.304
2009,1,Total Imports,Other spirits,12068.151,3462.198
2009,1,Total Imports,Other sugars,15276.952,30937.997
2009,1,Total Imports,"Other vegetables, fresh or chilled",119254.346,129417.41
2009,1,Total Imports,"Other vegetables, prepared or preserved",27334.233,24898.756
2009,1,Total Imports,Pasta uncooked,9950.632,10154.186
2009,1,Total Imports,"Pasta, cooked or stuffed",17483.876,15673.494
2009,1,Total Imports,Pears & quinces fresh,7190.105,7517.709
2009,1,Total Imports,Pork,51338.068,28786.261
2009,1,Total Imports,Potato products,25143.022,38141.581
2009,1,Total Imports,"Potatoes, fresh or chilled (including seed)",6462.397,21283.52
2009,1,Total Imports,Poultry products,60420.858,21165.396
2009,1,Total Imports,Poultrymeat (inc poultry offal),63719.073,25307.899
2009,1,Total Imports,Processed fats and waxes,13311.332,24333.79
2009,1,Total Imports,Raw beet or cane sugar,58231.862,136307.237
2009,1,Total Imports,Rice,25020.832,32636.028
2009,1,Total Imports,Salmon (inc. smoked),10381.446,2987.752
2009,1,Total Imports,"Sauces, condiments, seasonings",49559.769,42010.727
2009,1,Total Imports,Sausages and related products,24690.311,8637.358
